"","SC00552A","SC00554A","SC00557A","SC00562A","SC00567A","SC00568A","SC00569A","SC00570A","SC00571A","SC00574A","SC00575A","SC00576A","SC00578A","SC00582A","SC00589A","SC00590A","SC00593A","SC00594A","SC00596A","SC00599A","SC00956A","SC00957A","SC00958A","SC00964A","SC00965A","SC00968A","SC00969A","SC00971A","SC00973A","SC00975A","SC00976A","SC00980A","SC00984A","SC00991A","SC00993A","SC00995A","SC00996A","SC00998A","SC00999A","SC01001A","SC01002A","SC01004A","SC01005A","SC01006A","SC01007A","SC01008A","SC01009A","SC01010A","SC01012A","SC01013A","SC01014A","SC01016A","SC01018A","SC01022A","SC01025A","SC01026A","SC01028A","SC01030A","SC01033A","SC01039A","SC01040A","SC01193A","SC01194A","SC01200A","SC01205A","SC01206A","SC01209A","SC01219A","SC01220A","SC01227A","SC01232A","SC01233A","SC01236A","SC01239A","SC01242A","SC01244A","SC01245A","SC01246A","SC01251A","SC01255A","SC01257A","SC01258A","SC01261A","SC01262A","SC01265A","SC01267A","SC01268A","SC01270A","SC01272A","SC01277A","SC01279A","SC01281A","SC01283A","SC01284A","SC01285A","SC01287A","SC01290A","SC01294A","SC01295A","SC01296A","SC01297A","SC01298A","SC01299A","SC01302A","SC01307A","SC01308A","SC01311A","SC01312A","SC01316A","SC01317A","SC01318A"
"ST6GALNAC1","0.573390628741109","0.550496857906845","0.626477935344542","0.676164433734084","0.603943568187433","0.54906626350927","0.707635279786403","0.623233814620243","0.54960485476192","0.708119916598842","0.541558229831478","0.717090716374638","0.658668506148313","0.697063007727116","0.562512662402883","0.733703860968864","0.81490984751864","0.530649847550979","0.656746954282711","0.592150561542417","0.662078199179274","0.532368687104705","0.456483644082223","0.706971810736931","0.661714065827223","0.816465690982489","0.783318511239679","0.725671333478514","0.612370066771206","0.793514157418259","0.65498746449194","0.689736742310622","0.735081104675873","0.701128191872799","0.678799940889785","0.80461561373738","0.513086018236856","0.745331284670718","0.818070820270779","0.82151217166949","0.777968969197345","0.542462251067651","0.525714298670699","0.524608927204882","0.610236436450717","0.541151079552429","0.834410887883448","0.573157183922883","0.83349361742433","0.692126147398904","0.567969295344495","0.722774497467062","0.52720965129871","0.706263478587343","0.72503374609148","0.642713612942666","0.432986000820105","0.733330471638866","0.591915439076758","0.631380739923982","0.620714625706661","0.635472493038791","0.60439421053441","0.49734487290208","0.440539864321017","0.595939477883813","0.642140184649099","0.736629962712464","0.648885347045386","0.637841006483206","0.618154517448784","0.66648746088319","0.535171952460037","0.775536672057257","0.71084109956282","0.567026658658079","0.540309981567657","0.505831989084024","0.629335555584917","0.76663099244216","0.550069523710713","0.501283390302988","0.691917346028639","0.793048433620226","0.587178272411807","0.861953153701946","0.653316786534985","0.614675874972343","0.83302309583154","0.663912530645362","0.695730973235084","0.903318753750653","0.777981251842484","0.591190179232798","0.650723201756361","0.71625295173418","0.714249519512655","0.724113353994524","0.913398530389645","0.708809132662708","0.711700190617101","0.644794378330251","0.830767060947367","0.72090185045219","0.506760166293837","0.65609533686121","0.392460230031355","0.671519091073368","0.701357050908559","0.772076018587259","0.648530671705289"
"SFRP4","0.455827892108971","0.599738386844163","0.577743371966621","0.588739601059944","0.639847518809016","0.471112733564188","0.477887369937537","0.46749950909069","0.749101841885353","0.627485123530684","0.76984445052921","0.564941819410457","0.509923601267466","0.612965743191797","0.591701202747086","0.49866260187258","0.508638131168273","0.469257224693966","0.736830357261","0.64012333346787","0.675150252850939","0.747365646365305","0.737699265924861","0.695352672875122","0.862599680087733","0.742873114757502","0.612691158739891","0.597776054333744","0.638061084586322","0.509131682308563","0.856093107004607","0.662056167149734","0.691655358318266","0.791291661097149","0.487724608581308","0.63725818934882","0.600290508015802","0.480618978046437","0.480573782049269","0.507058164404071","0.473932899223031","0.65312542332405","0.595081941352468","0.859946790614827","0.625282505175657","0.779044382975937","0.75103034991467","0.57953509606735","0.525785896255806","0.560185238403994","0.852870781179215","0.569389483781572","0.711601577594034","0.501013972458178","0.643621233257084","0.536213601175957","0.63609791137845","0.679050046533832","0.518606111707057","0.599533151800379","0.449041167455112","0.543102602115486","0.76663099244216","0.606745230279031","0.826745767377825","0.712702645081181","0.505259428706411","0.768768450331243","0.761475483433478","0.605239608406181","0.610622390838651","0.499448791688918","0.536411884953967","0.63317491273652","0.60933956774418","0.510706478895917","0.457165761256926","0.772632951954177","0.638348009301962","0.552062073223511","0.632143140807504","0.644047259780622","0.737713917788426","0.639893209202742","0.694556673034632","0.479480090012997","0.655559859208132","0.641644381550838","0.479951141721654","0.483476008788439","0.724859745111999","0.596085911860114","0.677175440063474","0.702154021240968","0.695927386813833","0.627312413305677","0.535910861752399","0.787409886866883","0.564597307910963","0.873365797954001","0.675846381157222","0.6662788403883","0.715673307248185","0.89444523364942","0.76042754445322","0.727712749338767","0.787831283368791","0.691238791743273","0.621904185365827","0.823773949202268","0.811391264870322"
"CCL8","0.701320918583719","0.60340872299695","0.828745350050134","0.544407287258837","0.739218854527574","0.724096608174162","0.79759921037502","0.753631318567562","0.806687793179555","0.783194549517884","0.750706499212457","0.70578201744778","0.721423724266715","0.739495112189901","0.77876714794517","0.647007849028232","0.573717607642487","0.67713285410008","0.702752558867725","0.862273452128752","0.719706796145595","0.816659148463286","0.771300292608402","0.775093117478265","0.734356491372518","0.686805192844037","0.731590081930181","0.757083192897965","0.856290143009393","0.696224544318259","0.775361954468393","0.720641409219538","0.866491653473439","0.695892641656509","0.57585543739438","0.71540349046081","0.694346998292068","0.543030106563816","0.59852744750473","0.835056309438637","0.838950420809897","0.72220605414372","0.81007102824518","0.839044713445834","0.642735844421764","0.739511000267697","0.863829881554461","0.912375833176569","0.743579217635338","0.670084793856889","0.804369674256081","0.678471693772508","0.844649734862146","0.734776972782334","0.676963235225633","0.752808101169692","0.808786199340381","0.825873540220284","0.654189431858772","0.602286389581094","0.732175499401221","0.714881744272161","0.828573616994201","0.85486481865697","0.81763964878915","0.8399997395138","0.548775011856373","0.82309639650312","0.761679460792177","0.689393800752803","0.906195890416782","0.696350398179404","0.75205172668501","0.656791676676971","0.770604073472942","0.644369836937521","0.670366675902617","0.789242376610828","0.853907157057497","0.766470016449981","0.707530286125201","0.759598452275709","0.73909709264367","0.697230700639342","0.700632913180879","0.910132544992734","0.586048515788674","0.777525470730013","0.573773780746338","0.667858873836088","0.890471195889488","0.690733765852846","0.691335269801609","0.845117313687607","0.707201802674075","0.782880815404213","0.767699330028945","0.753287273540606","0.583821815923134","0.845524632813516","0.919485656917226","0.81735816850334","0.676557496123776","0.861687670607063","0.80083606828178","0.860520925372264","0.866030902193012","0.762457698793463","0.839415476234721","0.807565060360848","0.670736961607149"
"TWIST1","0.534483559792807","0.565566048446464","0.637100742238045","0.522731912076116","0.82573199962724","0.494884568596139","0.572553429784927","0.820657676702798","0.819012486292452","0.801625480014122","0.70821238420419","0.574492447397082","0.511777425169289","0.721004352384139","0.723649339524326","0.487589321496209","0.521757218320745","0.610153419725648","0.769047793409669","0.745796333382923","0.729907671097354","0.723614750674587","0.75439059989194","0.650887932878985","0.781602914207595","0.650033108841504","0.610810344556767","0.750666366393831","0.818070820270779","0.561975930801005","0.801945101228757","0.7670764507007","0.777589244336409","0.801957496536627","0.668484476923195","0.644301260345754","0.703535414551094","0.547121512334908","0.61765710153197","0.578062186433609","0.780098996421655","0.681059329438958","0.824685726033685","0.822230732129148","0.698257450216775","0.833095917371796","0.713907280939954","0.78778481739239","0.646015795518597","0.692653966263604","0.863419137375515","0.671349302584782","0.79113161442734","0.696623943908685","0.678567771303835","0.512349771465593","0.726001152422982","0.66455926207162","0.597831123063723","0.716912788762014","0.598209350827346","0.578062186433609","0.61629289944445","0.763030272780474","0.848081148475371","0.774509443316826","0.469031939641885","0.614778483624042","0.673219615873696","0.592714478131342","0.668043931108068","0.557980542411558","0.75311877219927","0.680244149477368","0.713268148739916","0.591701202747086","0.606932826659866","0.803906320695362","0.737531473201765","0.606553859327231","0.601683055380309","0.766782407546411","0.773675828790138","0.662390651132223","0.656138435583316","0.680545460925974","0.534904118987361","0.751887190589262","0.537280729279418","0.605877397218722","0.666406950417171","0.565596972788543","0.638371106693704","0.723539828178857","0.641620601022013","0.759169859493964","0.613829040424025","0.79316152945344","0.545013895408236","0.851371578432511","0.689736742310622","0.669870532229443","0.695624982287819","0.854912190501318","0.745852961600468","0.802805110789434","0.770565453315196","0.637143662717296","0.690337702577204","0.82672963159035","0.767551314742704"
"CTSV","0.72434208474905","0.519243305133418","0.512751198984844","0.555352179398014","0.543585272459239","0.582150579377297","0.5543479279998","0.473662628753353","0.506668006876723","0.643705737064947","0.693264003841596","0.539795477538706","0.511862746066059","0.662805900393274","0.672535378886255","0.527169870044012","0.562480071639779","0.519611541045851","0.591190179232798","0.658685542666583","0.563383023728756","0.582921675409806","0.620463173535611","0.592567798142529","0.486004309052038","0.459296484125188","0.605403341565696","0.562512662402883","0.720987130022019","0.643336943840776","0.564067295944357","0.731897061629765","0.469257224693966","0.526992182790515","0.635643207820401","0.752624409157459","0.661019859351391","0.52638562594464","0.699495198361765","0.491976228597656","0.607698283539661","0.683317535545646","0.513395178629284","0.465800152719436","0.644794378330251","0.766914477031954","0.773301922132247","0.689068560533749","0.524174379528897","0.687106642622371","0.641694237276579","0.460781944206882","0.458269577798196","0.576355876256729","0.593376991103337","0.62123201894393","0.493585093684428","0.589647436169858","0.672083527599861","0.636185743821244","0.66619762683537","0.61212569528713","0.562142632072782","0.589168504031874","0.737015018013134","0.555531966813333","0.579782701522996","0.579029257249139","0.647192331377349","0.656364741672448","0.562575625384217","0.512786006349799","0.611084857473717","0.845405324099997","0.512498064571963","0.800121263296867","0.625455112582841","0.521351569246086","0.661425178453274","0.612965743191797","0.565135797834802","0.672553386111295","0.549397286327483","0.61584630293129","0.756282446011656","0.686863357459261","0.448538054531157","0.744096410533946","0.679356255823313","0.636537761390373","0.613419804939526","0.665646891892564","0.638905640879285","0.609803355146629","0.720657462276771","0.661502987296384","0.644769198945292","0.600960480033763","0.542587987982523","0.842242569560243","0.692576236336685","0.653780836967864","0.819082387397631","0.526426560702231","0.659841680694634","0.596375108861188","0.671170456102669","0.820259643610914","0.53210636498583","0.868478433372525","0.651138768056734"
"KLRAP1","0.640481840945702","0.369284500613766","0.377516293786517","0.370450682325112","0.542541649394239","0.425179636778175","0.522250027185396","0.54855366613257","0.468856888344945","0.531407848370843","0.391708548662082","0.601796164237886","0.371445878931856","0.543511473219612","0.470001506275991","0.464943609479838","0.540966498604722","0.441300570278701","0.431995164170244","0.422288816901593","0.507187647057984","0.629211246774043","0.424314660522652","0.492728373001984","0.385553345515609","0.67949622428889","0.646981550840785","0.607242410416599","0.559337692804133","0.562014149602045","0.619092541935186","0.495022332773509","0.500786534498151","0.528363062387034","0.485121061965221","0.65391155714141","0.610258828974134","0.516398223795002","0.666016526664816","0.504903574222274","0.665528271564132","0.581406449171752","0.446650296869871","0.386443010242676","0.560149284292804","0.642801536261796","0.589395536045846","0.352661553111681","0.59722300535551","0.498310175418876","0.582766436208087","0.417240379633271","0.386015069688372","0.508072996204379","0.387627376911835","0.564739974294234","0.556587785531222","0.515393719729172","0.498041771630931","0.55691358212623","0.521834365091213","0.521966521280886","0.388059449428367","0.514751686351436","0.614574526255503","0.485068118933236","0.390419772489516","0.510365670058128","0.415519538046672","0.600068552548552","0.4554478746666","0.55908768233839","0.434295160705249","0.66486761652013","0.554103714108601","0.497755960224715","0.399001475489674","0.634796597849078","0.561043036921245","0.500786534498151","0.655787904582375","0.56935569341702","0.536177338402576","0.582539000427226","0.497566114858831","0.671027665070009","0.675173590680097","0.550427628555281","0.453579326656041","0.650887932878985","0.549716257795726","0.616606214768877","0.57308836154065","0.608640187782586","0.659754547050886","0.491873915378583","0.645686716611123","0.561450152582943","0.576691015653234","0.668081797602792","0.49047874829907","0.683810223183699","0.591190179232798","0.52398593961117","0.62593761506006","0.643379507535394","0.649207262866001","0.651869173095714","0.479364965057102","0.727501229679697","0.667391352074859"
"ZBED6CL","0.450467333084812","0.434888202810009","0.401331050304258","0.427860932025065","0.569080315922191","0.456297643276812","0.480707007183801","0.523028218300474","0.476484018071522","0.468856888344945","0.4407307887473","0.554067875140579","0.362474334473356","0.460088468316483","0.397117275765396","0.397019053447039","0.485372087364584","0.358236106668673","0.491582062559672","0.504039358840165","0.429526907161802","0.547883124258205","0.445178082142002","0.631433041630069","0.468362863115651","0.519910092455362","0.591978072599105","0.482731726118311","0.490151664793589","0.446340272324555","0.646299221647927","0.582921675409806","0.581341298509266","0.579816329685983","0.600704057589874","0.560566511485451","0.537436842171135","0.536138289653463","0.584884889478493","0.53263880741513","0.516434428938178","0.435183274542166","0.512066104288825","0.468043485552138","0.595514098352891","0.572520283786273","0.718535360373528","0.403364178964023","0.588552159163869","0.555114055063293","0.577834986218085","0.430594586392698","0.438028000755044","0.496713675214512","0.376673073415835","0.502761157753031","0.608737259575243","0.561698741478625","0.487683721386683","0.505945119033546","0.60513555178631","0.423248007972217","0.524648485172548","0.665429185511765","0.626920908742895","0.449529055645463","0.365641777454209","0.606658018091148","0.470367233624951","0.489868598767137","0.358611194903641","0.497114035076875","0.531279021802894","0.549642961878176","0.555877278086859","0.618571023409623","0.583759786867935","0.556049108849131","0.621497022348465","0.589426904413389","0.504956569814588","0.487589321496209","0.538318302507924","0.594384082886046","0.543894247401459","0.584679939479456","0.404788404536117","0.678268102825509","0.547883124258205","0.444413697073121","0.703335982948093","0.520084825285139","0.61018278102458","0.646369026611248","0.62985255895045","0.368098867644279","0.560702066149441","0.51451353198743","0.609312697011526","0.736539118007007","0.692503243375571","0.540785590173338","0.527787980371029","0.603329488633479","0.672901664596894","0.503467544169039","0.55269068449539","0.584151115117038","0.474152534750637","0.776366974738714","0.602515220699475"
"LOC729680","0.632590736933826","0.578721173470229","0.548888594318521","0.593597607361001","0.670285988683015","0.554532336868225","0.504903574222274","0.524251284691557","0.555709725268275","0.617059101143815","0.492769946106865","0.547733429139685","0.47193394483853","0.534287552407166","0.66488754799416","0.695085792858152","0.557806190772964","0.721694578667058","0.63388424435296","0.685400238259365","0.589247728708054","0.731077004396147","0.55287970886153","0.692388510169499","0.493946873973708","0.57579415207745","0.619401949483308","0.619201204477482","0.65632319986179","0.75921076702661","0.791875284274765","0.588552159163869","0.557633015727737","0.660891659075324","0.585763473404216","0.601067021763626","0.591822383385253","0.642847645015799","0.593597607361001","0.555817285902842","0.598843723884726","0.647633972166056","0.702140218669333","0.526954041389565","0.626477935344542","0.668466627536486","0.719868874953871","0.591672104764198","0.604027172953251","0.640884340683956","0.60160026356087","0.750706499212457","0.555386189824321","0.612586149632853","0.548474142129403","0.600730795190433","0.786397581905665","0.601796164237886","0.637441156570247","0.522863724429784","0.649638037416888","0.607480071805607","0.676476731599115","0.651869173095714","0.604909416721799","0.532979095218761","0.597861461578508","0.647378658505014","0.632239608809134","0.607480071805607","0.798588195988308","0.553533427292494","0.573613116211723","0.546186741701611","0.629379841172602","0.781890394266455","0.701495959982936","0.534563959447952","0.637674274026344","0.675442336000645","0.618668224570055","0.658582958682831","0.736230112878916","0.581899239372879","0.594604620357707","0.567562829285406","0.538460103520763","0.715738512339985","0.680742079097376","0.683429935678128","0.790931775597871","0.722966236620503","0.58260893608996","0.695536364224494","0.803265902532158","0.74552569231825","0.598927851954302","0.560114795163571","0.591520841564944","0.784839244628434","0.670962942877957","0.723349762942402","0.542252153205054","0.808029941271346","0.759320812509585","0.76659005157564","0.618817200011394","0.745289323196682","0.654762339828881","0.668731721007614","0.802678787700634"
"GINS3","0.705274670541628","0.589043937773532","0.466844778472604","0.637168434564368","0.749200015158964","0.60775122531811","0.597568155038996","0.525481576416311","0.576691015653234","0.690157116379385","0.384647592268634","0.581341298509266","0.50508452424255","0.746102449136546","0.679866693583342","0.601652229806053","0.57802654838397","0.611239448174747","0.616947688259007","0.481304451011927","0.538722227900536","0.704718396499182","0.562980237704982","0.590769264148561","0.428096250588418","0.617086967176621","0.618991191095994","0.687220478286495","0.699534557278797","0.736469149678174","0.736275982705108","0.719853164678227","0.691917346028639","0.734868710513549","0.58398841245273","0.624053997776453","0.586642529466822","0.594227055833573","0.810754058960637","0.696567219972027","0.748245025634718","0.596432207763169","0.50900324586163","0.515195977552094","0.553566902799854","0.539922433187575","0.678702013352969","0.580936961775341","0.717323223354285","0.648375632365606","0.668567088266071","0.587456758309296","0.590796744123099","0.683057788073149","0.628264758966385","0.51451353198743","0.639655474914803","0.676142668920263","0.638806235054807","0.695051247342432","0.6918287142959","0.695104868028572","0.641200323422975","0.625159728464204","0.585828656025716","0.547883124258205","0.437422441632125","0.608900278762155","0.608790620170496","0.6539919729774","0.647608373912663","0.564267572705615","0.668673527331225","0.651605035958671","0.616186113402212","0.668446352414231","0.655700998220399","0.603216782260684","0.691885387127535","0.570141038255987","0.73053815549507","0.601513062405864","0.659985773306597","0.709937835675934","0.658729825860647","0.630384456377154","0.470001506275991","0.637054803313204","0.690733765852846","0.712223750737221","0.700859692334845","0.602861199535893","0.495249585593007","0.792416691479205","0.715703769686216","0.624942614095528","0.6135674129006","0.503507781722432","0.685715240524521","0.597254225188093","0.629109535008479","0.673155938138804","0.650907033426429","0.509384077021148","0.61513530558411","0.667963743844925","0.614297047929815","0.689049406248094","0.476156737112634","0.744226752575201","0.624717124953164"
"PAQR8","0.681510249486588","0.620102020319933","0.629284405910251","0.640723867269205","0.619432165550318","0.603329488633479","0.637143662717296","0.445237628260097","0.554532336868225","0.605545305629715","0.520636926281138","0.729711366819558","0.544042668492205","0.648441758936267","0.55672678903755","0.672450524365412","0.763302808221897","0.639822527221752","0.546621093416821","0.701679838344993","0.549679257269251","0.64867006964835","0.767063493665302","0.666683580755736","0.556655265695692","0.687913087178405","0.782461033410854","0.643336943840776","0.598186191930001","0.590981772551803","0.733871980883224","0.756976019765995","0.51969653351322","0.684279328199692","0.7508196289783","0.705678830663025","0.716178770026448","0.543220762417863","0.736740063325201","0.545532411910104","0.65361406394058","0.591943685466078","0.649724133940918","0.596605594994886","0.732985326109549","0.590891605120462","0.717722775418003","0.432341669210789","0.670594048008679","0.674611457728038","0.693627692329868","0.584562872559745","0.504538910096228","0.628128628923026","0.658197230539535","0.652894984289477","0.72939215639252","0.711307313476534","0.506077851498204","0.614002374357693","0.615767837864965","0.683138583878667","0.736099819014468","0.478304352516624","0.499256190428907","0.624486644337255","0.508638131168273","0.62843422759491","0.722011535472981","0.730751525904962","0.576559046918093","0.498095205728395","0.643998999927522","0.672535378886255","0.576867967348403","0.627069370298312","0.720953455771946","0.575882541790011","0.612773599355932","0.686208869919716","0.533606936680075","0.624992586669546","0.530047047876031","0.700059852778402","0.742902247199025","0.589135633016643","0.495287510555632","0.543894247401459","0.59296677673416","0.482639861034395","0.633538670732337","0.676659030877318","0.71795847861065","0.478351463307005","0.73055454927823","0.568185703190917","0.70241092764266","0.584943274897039","0.749830909172911","0.68066161912327","0.648575250846769","0.629830674308357","0.695606679458467","0.657988384467809","0.70498101462708","0.716125461828599","0.505172435048608","0.706788389721026","0.691789933908078","0.657820365793756","0.584405622674518"
